Member_ID,First_Name,Last_Name,Gender,Birth_Date,Height,Weight,Hours_Sleep,Calories_Consumed,Exercise_Calories_Burned,Date
7864524,Phil,Brown,M,1992-06-02,70,175,8,2949,1089,2018-01-01
7864524,Phil,Brown,M,1992-06-02,70,175,6,2990,1266,2018-01-02
7864524,Phil,Brown,M,1992-06-02,70,175,8,2490,580,2018-01-03
7864524,Phil,Brown,M,1992-06-02,70,175,8,3198,1137,2018-01-04
7864524,Phil,Brown,M,1992-06-02,70,175,9,2948,881,2018-01-05
7864524,Phil,Brown,M,1992-06-02,70,175,9,3096,1112,2018-01-06
7864524,Phil,Brown,M,1992-06-02,70,175,8,2408,521,2018-01-07
7864524,Phil,Brown,M,1992-06-02,70,175,9,2426,475,2018-01-08
7864524,Phil,Brown,M,1992-06-02,70,175,8,2522,722,2018-01-09
7864524,Phil,Brown,M,1992-06-02,70,175,8,2566,762,2018-01-10
7864524,Phil,Brown,M,1992-06-02,70,175,9,2585,682,2018-01-11
7864524,Phil,Brown,M,1992-06-02,70,175,6,2735,963,2018-01-12
7864524,Phil,Brown,M,1992-06-02,70,175,7,3142,1333,2018-01-13
7864524,Phil,Brown,M,1992-06-02,70,175,7,2952,1092,2018-01-14
7864524,Phil,Brown,M,1992-06-02,70,175,9,3067,1388,2018-01-15
7864524,Phil,Brown,M,1992-06-02,70,175,8,3049,1189,2018-01-16
7864524,Phil,Brown,M,1992-06-02,70,175,7,2885,1107,2018-01-17
7864524,Phil,Brown,M,1992-06-02,70,175,9,2552,754,2018-01-18
7864524,Phil,Brown,M,1992-06-02,70,175,8,3186,1074,2018-01-19
7864524,Phil,Brown,M,1992-06-02,70,175,7,2474,706,2018-01-20
7864524,Phil,Brown,M,1992-06-02,70,175,7,2765,1077,2018-01-21
7864524,Phil,Brown,M,1992-06-02,70,175,7,3196,1389,2018-01-22
7864524,Phil,Brown,M,1992-06-02,70,175,9,2833,1090,2018-01-23
7864524,Phil,Brown,M,1992-06-02,70,175,8,2740,1012,2018-01-24
7864524,Phil,Brown,M,1992-06-02,70,175,9,2902,959,2018-01-25
7864524,Phil,Brown,M,1992-06-02,70,175,9,2678,818,2018-01-26
7864524,Phil,Brown,M,1992-06-02,70,175,6,3070,1452,2018-01-27
7864524,Phil,Brown,M,1992-06-02,70,175,9,2989,1152,2018-01-28
7864524,Phil,Brown,M,1992-06-02,70,175,6,2477,500,2018-01-29
7864524,Phil,Brown,M,1992-06-02,70,175,8,2449,618,2018-01-30
7864524,Phil,Brown,M,1992-06-02,70,175,9,2454,677,2018-01-31
7864524,Phil,Brown,M,1992-06-02,70,175,9,2607,844,2018-02-01
7864524,Phil,Brown,M,1992-06-02,70,175,8,2478,618,2018-02-02
7864524,Phil,Brown,M,1992-06-02,70,175,8,3121,1021,2018-02-03
7864524,Phil,Brown,M,1992-06-02,70,175,9,2855,995,2018-02-04
7864524,Phil,Brown,M,1992-06-02,70,175,9,3133,1120,2018-02-05
7864524,Phil,Brown,M,1992-06-02,70,175,8,2838,1007,2018-02-06
